,DealYear,DealMonth,Date,Area,Address,Rooms,Surface,Floor,Price,PPSQM,BuildYear
0,2010.0,12.0,31/12/2010,tel-aviv-area,פינס 1,3,10,6,"4,918,469",,2011
1,2010.0,12.0,31/12/2010,tel-aviv-area,מלצ''ט 36,5,128,,"950,000","7,421",1999
2,2010.0,12.0,31/12/2010,tel-aviv-area,קרליבך 1,3,82,4,"2,096,120","25,562",2013
3,2010.0,12.0,31/12/2010,tel-aviv-area,קרליבך 1,3,91,1,"1,898,195","20,859",2013
4,2010.0,12.0,31/12/2010,tel-aviv-area,קרליבך 1,5,121,12,"3,146,500","26,004",2013
5,2010.0,12.0,31/12/2010,tel-aviv-area,המסילה 1,4,10,14,"5,735,931",,2011
6,2010.0,12.0,31/12/2010,tel-aviv-area,אב 1,5,125,18,"7,996,764","63,974",2011
7,2010.0,12.0,31/12/2010,tel-aviv-area,יהודה הלוי 110,2,60,2,"488,000","8,133",1941
8,2010.0,12.0,31/12/2010,tel-aviv-area,קרליבך 1,4,100,11,"2,451,370","24,513",2013
9,2010.0,12.0,31/12/2010,tel-aviv-area,מלצ'ט 36,,,,"576,785",,
10,2010.0,12.0,31/12/2010,tel-aviv-area,המסילה 1,5,10,14,"7,659,136",,2011
11,2010.0,12.0,31/12/2010,tel-aviv-area,פינס 1,3,10,3,"2,503,277",,2011
12,2010.0,12.0,31/12/2010,tel-aviv-area,פינס 1,4,100,18,"5,392,220","53,922",2010
13,2010.0,12.0,31/12/2010,tel-aviv-area,המסילה 1,4,10,14,"5,311,048",,2011
14,2010.0,12.0,31/12/2010,tel-aviv-area,קרליבך 1,4,100,8,"2,329,570","23,295",2013
15,2010.0,12.0,31/12/2010,tel-aviv-area,אנטוקולסקי 9,,,,"1,580,000",,
16,2010.0,12.0,31/12/2010,tel-aviv-area,אנטיגונוס 2,3.5,70,,"1,400,000","20,000",1952
17,2010.0,12.0,31/12/2010,tel-aviv-area,אנטוקולסקי 9,2,47,2,"790,000","16,808",1960
18,2010.0,12.0,31/12/2010,tel-aviv-area,ילין דוד 20,2,48,,"1,430,000","29,791",1999
19,2010.0,12.0,31/12/2010,tel-aviv-area,המסילה 1,5,10,14,"7,965,500",,2011
20,2010.0,12.0,31/12/2010,tel-aviv-area,מזאה 76,2,50,,"1,260,000","25,200",1950
21,2010.0,12.0,31/12/2010,tel-aviv-area,התנאים 10,3,70,1,"1,865,000","26,642",1970
22,2010.0,12.0,31/12/2010,tel-aviv-area,פינס 1,5,10,18,"8,556,868",,2011
23,2010.0,12.0,31/12/2010,tel-aviv-area,מרים החשמונאית 18,3.5,70,,"1,400,000","20,000",1952
24,2010.0,12.0,31/12/2010,tel-aviv-area,,3.5,70,,"1,400,000","20,000",1952
25,2010.0,12.0,31/12/2010,tel-aviv-area,,2,48,,"1,430,000","29,791",1999
26,2010.0,12.0,31/12/2010,tel-aviv-area,,2,47,,"790,000","16,808",1960
27,2010.0,12.0,31/12/2010,tel-aviv-area,אנטוקולסקי 9,2,47,2,"790,000","16,808",1960
28,2010.0,12.0,29/12/2010,tel-aviv-area,אדירים 3,4,94,2,"1,050,000","11,170",1999
29,2010.0,12.0,29/12/2010,tel-aviv-area,,4,94,,"1,050,000","11,170",1999
30,2010.0,11.0,30/11/2010,tel-aviv-area,אלוף משה בריל 10,4,87,1,"1,350,000","15,517",1970
31,2010.0,11.0,30/11/2010,tel-aviv-area,אבן גבירול 62,3,45,6,"2,150,000","47,777",2009
32,2010.0,11.0,30/11/2010,tel-aviv-area,אפשטיין 4,3,78,1,"2,400,000","30,769",1959
33,2010.0,11.0,30/11/2010,tel-aviv-area,סוקולוב 40,2,50,1,"1,560,000","31,200",1980
34,2010.0,11.0,30/11/2010,tel-aviv-area,אלכסנדר ינאי 15,3,75,2,"1,750,000","23,333",1946
35,2010.0,11.0,30/11/2010,tel-aviv-area,ז''בוטינסקי 151,3,58,3,"1,600,000","27,586",1962
36,2010.0,11.0,30/11/2010,tel-aviv-area,דרך דיין משה 40,3,57,3,"1,000,000","17,543",1960
37,2010.0,11.0,30/11/2010,tel-aviv-area,גוטליב 15,2,50,2,"1,380,000","27,600",1940
38,2010.0,11.0,29/11/2010,tel-aviv-area,דרך דיין משה 44,2.5,57,5,"692,000","12,140",1970
39,2010.0,11.0,29/11/2010,tel-aviv-area,ועידת קטוביץ 50,2,60,,"1,470,000","24,500",1949
40,2010.0,11.0,29/11/2010,tel-aviv-area,הר נבו 1,3,65,1,"1,700,000","26,153",1961
41,2010.0,11.0,29/11/2010,tel-aviv-area,"ש""ץ 11",2,55,1,"1,620,000","29,454",1960
42,2010.0,11.0,29/11/2010,tel-aviv-area,ש''ץ 11,,,,"1,620,000",,
43,2010.0,11.0,28/11/2010,tel-aviv-area,יוחנן הגדי 5,2,10,2,"1,365,000","136,500",1951
44,2010.0,11.0,28/11/2010,tel-aviv-area,הלסינקי 25,2,41,1,"1,475,000","35,975",1949
45,2010.0,11.0,28/11/2010,tel-aviv-area,אבן גבירול 61,3.5,84,,"1,504,010","17,904",1960
46,2010.0,11.0,28/11/2010,tel-aviv-area,,2,41,,"1,475,000","35,975",1949
47,2010.0,11.0,28/11/2010,tel-aviv-area,אבן גבירול 61,3.5,84,,"1,504,010","17,904",1960
48,2010.0,11.0,28/11/2010,tel-aviv-area,יוחנן הגדי 5,2,10,2,"1,365,000","136,500",1951
49,2010.0,11.0,28/11/2010,tel-aviv-area,זבוטינסקי 140,2,41,1,"1,475,000","35,975",1949
50,2010.0,11.0,28/11/2010,tel-aviv-area,,3.5,84,,"1,504,010","17,904",1960
51,2010.0,11.0,28/11/2010,tel-aviv-area,,2,10,,"1,365,000","136,500",1951
52,2010.0,11.0,26/11/2010,tel-aviv-area,עמק ברכה 29,5,120,,"4,663,476","38,862",2012
53,2010.0,11.0,26/11/2010,tel-aviv-area,זימן 13,4,90,3,"1,830,000","20,333",1970
54,2010.0,11.0,26/11/2010,tel-aviv-area,סהרון 4,3.5,65,,"800,000","12,307",1960
55,2010.0,11.0,26/11/2010,tel-aviv-area,"אצ""ל 22",4,73,1,"700,000","9,589",1970
56,2010.0,11.0,26/11/2010,tel-aviv-area,פאת השולחן 16,4,90,3,"1,830,000","20,333",1970
57,2010.0,11.0,26/11/2010,tel-aviv-area,ברודצקי 13,5,120,,"3,028,000","25,233",1960
58,2010.0,11.0,26/11/2010,tel-aviv-area,שינקין 49,3,55,,"1,995,650","36,284",1999
59,2010.0,11.0,25/11/2010,tel-aviv-area,ה' באייר 32,,,,"2,810,000",,
60,2010.0,10.0,31/10/2010,tel-aviv-area,ויזל 8,3,44,3,"1,795,000","40,795",1956
61,2010.0,10.0,31/10/2010,tel-aviv-area,דרך מנחם בגין 158,3,75,14,"1,630,006","21,733",2011
62,2010.0,10.0,31/10/2010,tel-aviv-area,שד בן גוריון 77,2,57,4,"2,360,000","41,403",1949
63,2010.0,10.0,31/10/2010,tel-aviv-area,אלוני ניסים 6,5,10,32,"3,447,612",,2002
64,2010.0,10.0,31/10/2010,tel-aviv-area,בילטמור 13,3.5,61,1,"2,475,000","40,573",1955
65,2010.0,10.0,29/10/2010,tel-aviv-area,מרכז בעלי מלאכה 23,3,70,,"1,800,000","25,714",2005
66,2010.0,10.0,29/10/2010,tel-aviv-area,יעקב וייס 2,,,,"3,383,384",,
67,2010.0,10.0,29/10/2010,tel-aviv-area,החשמונאים 1,4,100,5,"2,217,200","22,172",2012
68,2010.0,10.0,29/10/2010,tel-aviv-area,אלמוג דוד 7,4,96,6,"605,000","6,302",1961
69,2010.0,10.0,29/10/2010,tel-aviv-area,וייס יעקב 4,5,125,10,"3,383,384","27,067",1999
70,2010.0,10.0,29/10/2010,tel-aviv-area,,4,96,,"605,000","6,302",1961
71,2010.0,10.0,29/10/2010,tel-aviv-area,,5,125,,"3,383,384","27,067",1999
72,2010.0,10.0,29/10/2010,tel-aviv-area,חכים אליהו 4,5,125,10,"3,383,384","27,067",1999
73,2010.0,10.0,29/10/2010,tel-aviv-area,אסירי ציון 7,4,96,6,"605,000","6,302",1961
74,2010.0,10.0,29/10/2010,tel-aviv-area,,,,,"3,383,384",,
75,2010.0,10.0,29/10/2010,tel-aviv-area,,4,100,,"2,217,200","22,172",2012
76,2010.0,10.0,29/10/2010,tel-aviv-area,החשמונאים 1,4,100,5,"2,217,200","22,172",2012
77,2010.0,10.0,29/10/2010,tel-aviv-area,,3,70,,"1,800,000","25,714",2005
78,2010.0,10.0,29/10/2010,tel-aviv-area,,,,,"605,000",,
79,2010.0,10.0,29/10/2010,tel-aviv-area,שמואל כהן יוחננוף 6,,,,"605,000",,
80,2010.0,10.0,29/10/2010,tel-aviv-area,סלע יעקב 13,3.5,72,7,"1,000,000","13,888",1970
81,2010.0,10.0,28/10/2010,tel-aviv-area,דרך מנחם בגין 158,3,75,28,"1,857,900","24,772",2011
82,2010.0,10.0,28/10/2010,tel-aviv-area,אלוני ניסים 1,1,10,24,"4,438,000",,2011
83,2010.0,10.0,28/10/2010,tel-aviv-area,שד בן גוריון 72,2,50,2,"1,530,000","30,600",1970
84,2010.0,10.0,28/10/2010,tel-aviv-area,דרך מנחם בגין 158,3,75,16,"1,577,013","21,026",2011
85,2010.0,10.0,28/10/2010,tel-aviv-area,דרך מנחם בגין 158,3,75,27,"1,840,300","24,537",2011
86,2010.0,10.0,28/10/2010,tel-aviv-area,פישמן מימון 5,4,108,7,"3,645,000","33,750",1999
87,2010.0,10.0,28/10/2010,tel-aviv-area,דרך מנחם בגין 158,3,75,22,"1,764,488","23,526",2011
88,2010.0,10.0,28/10/2010,tel-aviv-area,דה וינצ''י לאונרדו 18,4,90,3,"3,000,000","33,333",1957
89,2010.0,10.0,28/10/2010,tel-aviv-area,יהודה המכבי 30,2.5,49,1,"1,650,000","33,673",1950
90,2010.0,9.0,29/9/2010,tel-aviv-area,אוליפנט 3,3,86,3,"1,950,000","22,674",1970
91,2010.0,9.0,29/9/2010,tel-aviv-area,יערי מאיר 2,4,171,,"5,600,000","32,748",2007
92,2010.0,9.0,29/9/2010,tel-aviv-area,גדיש 22,2,28,,"290,000","10,357",1950
93,2010.0,9.0,28/9/2010,tel-aviv-area,ריינס 31,2,61,1,"1,480,000","24,262",1954
94,2010.0,9.0,28/9/2010,tel-aviv-area,חכמי אתונה 91,2,40,4,"465,000","11,625",1947
95,2010.0,9.0,28/9/2010,tel-aviv-area,אדם הכהן 3,4,130,3,"4,950,000","38,076",1999
96,2010.0,9.0,28/9/2010,tel-aviv-area,ברגסון 3,3,68,8,"2,275,000","33,455",1970
97,2010.0,9.0,28/9/2010,tel-aviv-area,המלך כורש 12,,,,"1,050,000",,
98,2010.0,9.0,28/9/2010,tel-aviv-area,כורש 11,2,48,1,"1,050,000","21,875",1951
99,2010.0,9.0,28/9/2010,tel-aviv-area,מאנה 24,3.5,106,3,"2,094,000","19,754",1992
100,2010.0,9.0,28/9/2010,tel-aviv-area,יעל 8,1,27,,"1,075,000","39,814",1945
101,2010.0,9.0,28/9/2010,tel-aviv-area,אלנבי 73,3,63,6,"1,810,000","28,730",2000
102,2010.0,9.0,28/9/2010,tel-aviv-area,דרך הטייסים 72,3.5,70,4,"900,000","12,857",1970
103,2010.0,9.0,28/9/2010,tel-aviv-area,יערי מאיר 23,4,100,4,"2,350,000","23,500",1999
104,2010.0,9.0,28/9/2010,tel-aviv-area,יהודה הימית 35,2,50,1,"875,000","17,500",2012
105,2010.0,9.0,28/9/2010,tel-aviv-area,חריף אייזיק 185,2,57,3,"450,000","7,894",1970
106,2010.0,9.0,28/9/2010,tel-aviv-area,הרב צירלסון 3,4,75,1,"4,300,000","57,333",2005
107,2010.0,9.0,28/9/2010,tel-aviv-area,,3,68,,"2,275,000","33,455",1970
108,2010.0,9.0,28/9/2010,tel-aviv-area,,2,40,,"465,000","11,625",1947
109,2010.0,9.0,28/9/2010,tel-aviv-area,,2,50,,"875,000","17,500",2012
110,2010.0,9.0,28/9/2010,tel-aviv-area,שולמית 8,1,27,,"1,075,000","39,814",1945
111,2010.0,9.0,28/9/2010,tel-aviv-area,ברגסון 3,3,68,8,"2,275,000","33,455",1970
112,2010.0,9.0,28/9/2010,tel-aviv-area,אדם הכהן 3,4,130,3,"4,950,000","38,076",1999
113,2010.0,9.0,28/9/2010,tel-aviv-area,מעפילי אגוז 72,3.5,70,4,"900,000","12,857",1970
114,2010.0,9.0,28/9/2010,tel-aviv-area,יפת 185,2,57,3,"450,000","7,894",1970
115,2010.0,9.0,28/9/2010,tel-aviv-area,אלנבי 73,3,63,6,"1,810,000","28,730",2000
116,2010.0,9.0,28/9/2010,tel-aviv-area,,3.5,70,,"900,000","12,857",1970
117,2010.0,9.0,28/9/2010,tel-aviv-area,כורש 11,2,48,1,"1,050,000","21,875",1951
118,2010.0,9.0,28/9/2010,tel-aviv-area,,2,57,,"450,000","7,894",1970
119,2010.0,9.0,28/9/2010,tel-aviv-area,,3,63,,"1,810,000","28,730",2000
120,2010.0,8.0,31/8/2010,tel-aviv-area,אלוני ניסים 1,1,10,25,"4,900,000",,2011
121,2010.0,8.0,31/8/2010,tel-aviv-area,דרך ההגנה 130,3.5,72,10,"1,220,000","16,944",1990
122,2010.0,8.0,31/8/2010,tel-aviv-area,ז''בוטינסקי 114,4,80,4,"3,500,000","43,750",1957
123,2010.0,8.0,31/8/2010,tel-aviv-area,דרך מנחם בגין 158,2,80,16,"1,265,000","15,812",2011
124,2010.0,8.0,31/8/2010,tel-aviv-area,הרב הרצוג 7,3,61,3,"1,730,000","28,360",1966
125,2010.0,8.0,31/8/2010,tel-aviv-area,ז'בוטינסקי 112,,,,"3,500,000",,
126,2010.0,8.0,31/8/2010,tel-aviv-area,שד דוד המלך 11,1,21,1,"690,000","32,857",1955
127,2010.0,8.0,30/8/2010,tel-aviv-area,ויזל 21,1,40,,"1,000,000","25,000",1970
128,2010.0,8.0,30/8/2010,tel-aviv-area,ארלוזורוב 69,2,40,,"1,335,000","33,375",1950
129,2010.0,8.0,30/8/2010,tel-aviv-area,אלוני ניסים  12,4,100,14,"3,764,380","37,643",2011
130,2010.0,8.0,30/8/2010,tel-aviv-area,ברנדיס 1,2,55,3,"1,550,000","28,181",1970
